Employee ID,Date,Time In,Status,Time Out,Hours Worked,Overtime Hours
26,05/01/2024,18:45:00,0,19:00:00,8,0
26,05/02/2024,17:45:00,0,8:45:00,8,3
26,05/03/2024,18:45:00,0,19:00:00,8,0
26,05/04/2024,17:45:00,0,8:45:00,8,0
26,05/06/2024,18:45:00,0,19:00:00,8,0
26,05/07/2024,17:45:00,0,8:45:00,8,3
26,05/08/2024,18:45:00,0,19:00:00,8,0
26,05/09/2024,17:45:00,1,8:45:00,8,0
26,05/10/2024,18:45:00,0,19:00:00,7,0
26,05/13/2024,17:45:00,1,8:45:00,7,0
26,05/14/2024,18:45:00,0,19:00:00,7,0
26,05/15/2024,17:45:00,1,8:45:00,7,0
26,05/16/2024,18:45:00,0,19:00:00,7,3
26,05/17/2024,17:45:00,1,8:45:00,7,0
26,05/20/2024,18:45:00,0,19:00:00,7,0
26,05/21/2024,17:45:00,1,8:45:00,8,0
26,05/22/2024,18:45:00,0,19:00:00,8,3
26,05/23/2024,17:45:00,1,8:45:00,8,3
26,05/24/2024,18:45:00,0,19:00:00,8,3
26,05/27/2024,17:45:00,0,8:45:00,8,0
26,05/28/2024,18:45:00,0,19:00:00,8,0
26,05/29/2024,17:45:00,0,8:45:00,8,3
26,05/30/2024,18:45:00,0,19:00:00,8,0
26,05/31/2024,17:45:00,1,8:45:00,8,0
