Employee ID,Date,Time In,Status,Time Out,Hours Worked,Overtime Hours
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,01/02/2024,8:00:00,2,17:00:00,8,0
26,02/02/2024,8:00:00,2,17:00:00,8,0
26,03/02/2024,8:00:00,2,17:00:00,8,0
26,04/02/2024,8:00:00,2,17:00:00,8,0
26,05/02/2024,8:00:00,2,17:00:00,8,0
26,06/02/2024,8:00:00,2,17:00:00,8,0
26,07/02/2024,8:00:00,2,17:00:00,8,0
26,08/02/2024,8:00:00,2,17:00:00,8,0
26,09/02/2024,8:00:00,2,17:00:00,8,0
26,10/02/2024,8:00:00,2,17:00:00,8,0
26,11/02/2024,8:00:00,2,17:00:00,8,0
26,12/02/2024,8:00:00,2,17:00:00,8,0
26,13/02/2024,8:00:00,2,17:00:00,8,0
26,14/02/2024,8:00:00,2,17:00:00,8,0
26,15/02/2024,8:00:00,2,17:00:00,8,0
26,16/02/2024,8:00:00,2,17:00:00,8,0
26,17/02/2024,8:00:00,2,17:00:00,8,0
26,18/02/2024,8:00:00,2,17:00:00,8,0
26,19/02/2024,8:00:00,2,17:00:00,8,0
26,20/02/2024,8:00:00,2,17:00:00,8,0
26,21/02/2024,8:00:00,2,17:00:00,8,0
26,22/02/2024,8:00:00,2,17:00:00,8,0
26,23/02/2024,8:00:00,2,17:00:00,8,0
26,24/02/2024,8:00:00,2,17:00:00,8,0
26,25/02/2024,8:00:00,2,17:00:00,8,0
26,26/02/2024,8:00:00,2,17:00:00,8,0
26,27/02/2024,8:00:00,2,17:00:00,8,0
26,28/02/2024,8:00:00,2,17:00:00,8,0
26,29/02/2024,8:00:00,2,17:00:00,8,0
