Employee ID,Date,Time In,Status,Time Out,Hours Worked,Overtime Hours
30,22/02/2024,1:31:34,1,1:31:36,0,0
30,22/02/2024,1:31:38,2,1:31:48,0,0
30,22/02/2024,1:31:49,2,1:31:51,0,0
30,22/02/2024,1:31:52,2,1:31:54,0,0
30,22/02/2024,1:31:56,2,1:31:57,0,0
30,22/02/2024,1:31:59,2,1:32:02,0,0
30,22/02/2024,1:32:03,2,1:32:05,0,0
30,22/02/2024,1:32:06,2,0:00:00,0,0
25,01/02/2024,8:00:00,3,17:00:00,9,0
25,02/02/2024,8:00:00,3,17:00:00,9,0
25,03/02/2024,8:00:00,3,17:00:00,9,0
25,04/02/2024,8:00:00,3,17:00:00,9,0
25,05/02/2024,8:00:00,3,17:00:00,9,0
25,06/02/2024,8:00:00,3,17:00:00,9,0
25,07/02/2024,8:00:00,3,17:00:00,9,0
25,08/02/2024,9:00:00,3,17:00:00,9,0
25,09/02/2024,8:00:00,3,17:00:00,9,0
25,10/02/2024,8:00:00,3,17:00:00,9,0
25,11/02/2024,8:00:00,3,17:00:00,9,0
25,12/02/2024,8:00:00,3,17:00:00,9,0
25,13/02/2024,8:00:00,3,17:00:00,9,0
25,14/02/2024,8:00:00,3,17:00:00,9,0
25,15/02/2024,8:00:00,3,17:00:00,9,0
25,16/02/2024,8:00:00,3,17:00:00,9,0
25,17/02/2024,8:00:00,3,17:00:00,9,0
25,18/02/2024,8:00:00,3,17:00:00,9,0
25,19/02/2024,8:00:00,3,17:00:00,9,0
25,20/02/2024,8:00:00,3,17:00:00,9,0
25,21/02/2024,8:00:00,3,17:00:00,9,0
25,22/02/2024,8:00:00,3,17:00:00,9,0
25,23/02/2024,8:00:00,3,17:00:00,9,0
25,24/02/2024,8:00:00,3,17:00:00,9,0
25,25/02/2024,8:00:00,3,17:00:00,9,0
25,26/02/2024,8:00:00,3,17:00:00,9,0
25,27/02/2024,8:00:00,3,17:00:00,9,0
25,28/02/2024,8:00:00,3,17:00:00,9,0
25,29/02/2024,8:00:00,3,17:00:00,9,0
